school,schgend,type,schavg,student,intake,sex,vr,normexam,standLRT
1,mixed,Mxd,0.1661752,66,mid 50%,M,mid 50%,0.2613242,0.3711052
1,mixed,Mxd,0.1661752,73,mid 50%,M,mid 50%,1.5792202,0.2058022
1,mixed,Mxd,0.1661752,80,mid 50%,F,mid 50%,0.9675862,-0.290107
1,mixed,Mxd,0.1661752,82,mid 50%,F,mid 50%,0.0735362,-0.042152
1,mixed,Mxd,0.1661752,86,bottom 25%,F,mid 50%,1.4395322,1.6108772
1,mixed,Mxd,0.1661752,88,bottom 25%,F,mid 50%,0.3280722,0.3711052
1,mixed,Mxd,0.1661752,90,mid 50%,M,mid 50%,-1.526653,-0.620713
1,mixed,Mxd,0.1661752,95,bottom 25%,F,mid 50%,2.4086922,1.1976192
1,mixed,Mxd,0.1661752,105,mid 50%,F,mid 50%,-1.029067,-0.620713
1,mixed,Mxd,0.1661752,108,bottom 25%,M,mid 50%,1.7348992,1.6108772
1,mixed,Mxd,0.1661752,109,bottom 25%,F,mid 50%,2.0397092,1.6108772
1,mixed,Mxd,0.1661752,112,bottom 25%,M,mid 50%,2.4086922,2.4373912
1,mixed,Mxd,0.1661752,113,top 25%,M,mid 50%,-1.219486,-1.447227
1,mixed,Mxd,0.1661752,115,mid 50%,M,mid 50%,-0.129085,-1.03397
1,mixed,Mxd,0.1661752,117,mid 50%,F,mid 50%,-0.939378,-0.538061
1,mixed,Mxd,0.1661752,121,bottom 25%,M,mid 50%,2.2031212,2.5200432
1,mixed,Mxd,0.1661752,124,bottom 25%,M,mid 50%,-0.129085,1.1976192
1,mixed,Mxd,0.1661752,134,mid 50%,M,mid 50%,-1.836687,0.0404992
1,mixed,Mxd,0.1661752,137,bottom 25%,M,mid 50%,0.6107292,2.1067862
1,mixed,Mxd,0.1661752,138,mid 50%,F,mid 50%,0.5443412,0.3711052
1,mixed,Mxd,0.1661752,141,mid 50%,F,mid 50%,0.9675862,0.2058022
1,mixed,Mxd,0.1661752,142,top 25%,M,mid 50%,-1.723882,-1.364576
1,mixed,Mxd,0.1661752,143,bottom 25%,F,mid 50%,0.2613242,0.6190592
1,mixed,Mxd,0.1661752,145,mid 50%,F,mid 50%,0.1340672,0.2058022
1,mixed,Mxd,0.1661752,155,bottom 25%,M,mid 50%,1.7348992,2.1894372
1,mixed,Mxd,0.1661752,158,top 25%,M,mid 50%,1.0396082,-1.116621
1,mixed,Mxd,0.1661752,172,bottom 25%,M,mid 50%,0.0735362,1.1149682
1,mixed,Mxd,0.1661752,173,mid 50%,M,mid 50%,0.3280722,-0.620713
1,mixed,Mxd,0.1661752,175,bottom 25%,M,mid 50%,1.9003352,2.0241342
1,mixed,Mxd,0.1661752,177,mid 50%,M,mid 50%,0.1941492,0.0404992
1,mixed,Mxd,0.1661752,183,bottom 25%,F,mid 50%,1.5061852,0.6190592
1,mixed,Mxd,0.1661752,188,bottom 25%,M,mid 50%,0.9675862,1.0323172
1,mixed,Mxd,0.1661752,191,bottom 25%,M,mid 50%,0.4026692,0.3711052
1,mixed,Mxd,0.1661752,192,mid 50%,M,mid 50%,1.6618062,0.2884532
1,mixed,Mxd,0.1661752,193,mid 50%,M,mid 50%,-0.776109,-0.124804
1,mixed,Mxd,0.1661752,197,top 25%,M,mid 50%,0.8965662,-1.116621
1,mixed,Mxd,0.1661752,198,mid 50%,F,mid 50%,-1.029067,-0.372758
1,mixed,Mxd,0.1661752,199,top 25%,F,mid 50%,1.0396082,-1.199273
1,mixed,Mxd,0.1661752,202,top 25%,M,mid 50%,-0.623051,-1.116621
1,mixed,Mxd,0.1661752,205,bottom 25%,F,mid 50%,1.2405332,1.1149682
1,mixed,Mxd,0.1661752,208,bottom 25%,F,mid 50%,1.7348992,1.0323172
1,mixed,Mxd,0.1661752,211,bottom 25%,M,mid 50%,1.3101422,0.7843622
1,mixed,Mxd,0.1661752,212,top 25%,M,mid 50%,-0.492781,-2.356393
1,mixed,Mxd,0.1661752,215,bottom 25%,M,mid 50%,0.8965662,0.3711052
1,mixed,Mxd,0.1661752,219,mid 50%,F,mid 50%,1.9003352,-0.042152
1,mixed,Mxd,0.1661752,221,mid 50%,F,mid 50%,0.3280722,-0.951318
1,mixed,Mxd,0.1661752,223,mid 50%,M,mid 50%,0.4781942,-0.124804
2,girls,Sngl,0.3951492,1,mid 50%,F,top 25%,-0.555112,-0.124804
2,girls,Sngl,0.3951492,3,mid 50%,F,top 25%,2.0397092,0.2884532
2,girls,Sngl,0.3951492,5,mid 50%,F,top 25%,0.6107292,-0.45541
2,girls,Sngl,0.3951492,8,mid 50%,F,top 25%,-1.118624,-0.620713
2,girls,Sngl,0.3951492,11,top 25%,F,top 25%,-0.623051,-1.695182
2,girls,Sngl,0.3951492,15,mid 50%,F,top 25%,2.0397092,0.3711052
2,girls,Sngl,0.3951492,26,bottom 25%,F,top 25%,1.7348992,1.9414832
2,girls,Sngl,0.3951492,31,bottom 25%,F,top 25%,2.7018012,2.0241342
2,girls,Sngl,0.3951492,32,mid 50%,F,top 25%,-1.962075,-0.45541
2,girls,Sngl,0.3951492,35,bottom 25%,F,top 25%,0.3280722,1.3629222
2,girls,Sngl,0.3951492,38,bottom 25%,F,top 25%,0.4026692,1.6935282
2,girls,Sngl,0.3951492,40,mid 50%,F,top 25%,-0.265159,-0.538061
2,girls,Sngl,0.3951492,43,bottom 25%,F,top 25%,3.1340482,1.2802712
2,girls,Sngl,0.3951492,44,bottom 25%,F,top 25%,1.6618062,0.7017112
2,girls,Sngl,0.3951492,46,bottom 25%,F,top 25%,2.1029752,2.1894372
2,girls,Sngl,0.3951492,49,top 25%,F,top 25%,-1.335315,-1.116621
2,girls,Sngl,0.3951492,50,top 25%,F,top 25%,-0.85267,-1.116621
2,girls,Sngl,0.3951492,53,mid 50%,F,top 25%,0.6107292,-0.042152
2,girls,Sngl,0.3951492,54,mid 50%,F,top 25%,0.6107292,-0.45541
2,girls,Sngl,0.3951492,55,bottom 25%,F,top 25%,0.4026692,1.2802712
2,girls,Sngl,0.3951492,57,mid 50%,F,top 25%,-1.219486,0.2058022
2,girls,Sngl,0.3951492,59,bottom 25%,F,top 25%,1.8138272,2.4373912
2,girls,Sngl,0.3951492,60,bottom 25%,F,top 25%,1.9771072,2.0241342
2,girls,Sngl,0.3951492,61,bottom 25%,F,top 25%,1.1094382,2.1894372
2,girls,Sngl,0.3951492,65,bottom 25%,F,top 25%,1.0396082,1.6108772
2,girls,Sngl,0.3951492,68,mid 50%,F,top 25%,0.7472282,0.0404992
2,girls,Sngl,0.3951492,75,bottom 25%,F,top 25%,1.3101422,1.1976192
2,girls,Sngl,0.3951492,77,bottom 25%,F,top 25%,2.9246672,0.9496652
2,girls,Sngl,0.3951492,78,mid 50%,F,top 25%,2.7018012,-0.45541
2,girls,Sngl,0.3951492,84,top 25%,F,top 25%,-0.129085,-1.281924
2,girls,Sngl,0.3951492,87,mid 50%,F,top 25%,-0.129085,-0.538061
2,girls,Sngl,0.3951492,91,bottom 25%,F,top 25%,1.5061852,1.0323172
2,girls,Sngl,0.3951492,95,mid 50%,F,top 25%,0.6107292,0.2884532
2,girls,Sngl,0.3951492,100,mid 50%,F,top 25%,1.5792202,0.1231502
2,girls,Sngl,0.3951492,102,mid 50%,F,top 25%,-1.118624,-0.620713
2,girls,Sngl,0.3951492,104,bottom 25%,F,top 25%,1.7348992,1.2802712
2,girls,Sngl,0.3951492,108,bottom 25%,F,top 25%,0.4781942,0.7017112
2,girls,Sngl,0.3951492,109,bottom 25%,F,top 25%,2.4086922,0.6190592
2,girls,Sngl,0.3951492,110,mid 50%,F,top 25%,0.0043222,-0.620713
2,girls,Sngl,0.3951492,112,bottom 25%,F,top 25%,0.4026692,0.7843622
2,girls,Sngl,0.3951492,113,mid 50%,F,top 25%,-0.623051,-0.786016
2,girls,Sngl,0.3951492,115,mid 50%,F,top 25%,0.8219882,-0.372758
2,girls,Sngl,0.3951492,119,bottom 25%,F,top 25%,2.4086922,1.9414832
2,girls,Sngl,0.3951492,129,mid 50%,F,top 25%,-1.029067,-0.868667
2,girls,Sngl,0.3951492,131,mid 50%,F,top 25%,0.5443412,0.3711052
2,girls,Sngl,0.3951492,132,bottom 25%,F,top 25%,2.2031212,1.2802712
2,girls,Sngl,0.3951492,134,bottom 25%,F,top 25%,0.6107292,1.3629222
2,girls,Sngl,0.3951492,135,bottom 25%,F,top 25%,3.1340482,1.0323172
2,girls,Sngl,0.3951492,137,mid 50%,F,top 25%,1.4395322,0.0404992
2,girls,Sngl,0.3951492,138,mid 50%,F,top 25%,1.0396082,-0.290107
2,girls,Sngl,0.3951492,143,mid 50%,F,top 25%,-0.623051,-0.45541
2,girls,Sngl,0.3951492,147,mid 50%,F,top 25%,0.6107292,0.1231502
3,mixed,Mxd,0.5141552,9,bottom 25%,M,top 25%,1.4395322,0.7017112
3,mixed,Mxd,0.5141552,12,bottom 25%,M,top 25%,1.9771072,2.4373912
3,mixed,Mxd,0.5141552,18,bottom 25%,M,top 25%,1.2405332,1.0323172
3,mixed,Mxd,0.5141552,20,mid 50%,F,top 25%,1.3747412,0.3711052
3,mixed,Mxd,0.5141552,22,bottom 25%,F,top 25%,1.5792202,0.9496652
3,mixed,Mxd,0.5141552,36,bottom 25%,M,top 25%,2.0397092,2.4373912
3,mixed,Mxd,0.5141552,41,bottom 25%,F,top 25%,1.8138272,1.2802712
3,mixed,Mxd,0.5141552,42,bottom 25%,M,top 25%,2.2031212,1.8588312
3,mixed,Mxd,0.5141552,46,bottom 25%,F,top 25%,0.8219882,1.0323172
3,mixed,Mxd,0.5141552,54,mid 50%,F,top 25%,-0.492781,0.2884532
3,mixed,Mxd,0.5141552,60,bottom 25%,M,top 25%,0.7472282,0.5364082
3,mixed,Mxd,0.5141552,67,bottom 25%,F,top 25%,0.6107292,1.2802712
3,mixed,Mxd,0.5141552,71,mid 50%,M,top 25%,0.9675862,0.5364082
3,mixed,Mxd,0.5141552,73,mid 50%,M,top 25%,2.2031212,-0.042152
3,mixed,Mxd,0.5141552,83,bottom 25%,M,top 25%,-0.197611,0.6190592
3,mixed,Mxd,0.5141552,86,mid 50%,M,top 25%,1.4395322,0.0404992
3,mixed,Mxd,0.5141552,87,mid 50%,M,top 25%,1.0396082,0.0404992
3,mixed,Mxd,0.5141552,88,mid 50%,M,top 25%,-0.338842,-0.951318
3,mixed,Mxd,0.5141552,90,mid 50%,M,top 25%,0.8219882,-0.620713
3,mixed,Mxd,0.5141552,94,bottom 25%,F,top 25%,2.1029752,0.9496652
3,mixed,Mxd,0.5141552,98,bottom 25%,F,top 25%,1.5061852,0.9496652
3,mixed,Mxd,0.5141552,102,mid 50%,M,top 25%,1.1094382,0.2058022
3,mixed,Mxd,0.5141552,103,bottom 25%,M,top 25%,0.1340672,0.6190592
3,mixed,Mxd,0.5141552,104,bottom 25%,F,top 25%,0.8965662,1.1976192
3,mixed,Mxd,0.5141552,119,bottom 25%,M,top 25%,-0.699505,0.7017112
3,mixed,Mxd,0.5141552,120,mid 50%,M,top 25%,0.1340672,-0.538061
3,mixed,Mxd,0.5141552,121,bottom 25%,M,top 25%,2.4086922,1.4455742
3,mixed,Mxd,0.5141552,122,mid 50%,M,top 25%,0.8965662,-0.124804
3,mixed,Mxd,0.5141552,123,top 25%,M,top 25%,-0.062088,-1.860484
3,mixed,Mxd,0.5141552,125,mid 50%,F,top 25%,1.1758492,0.1231502
3,mixed,Mxd,0.5141552,134,mid 50%,M,top 25%,0.0043222,-0.042152
3,mixed,Mxd,0.5141552,136,mid 50%,F,top 25%,-0.197611,-0.042152
3,mixed,Mxd,0.5141552,169,bottom 25%,F,top 25%,2.9246672,1.3629222
3,mixed,Mxd,0.5141552,171,bottom 25%,F,top 25%,-0.699505,1.3629222
3,mixed,Mxd,0.5141552,172,bottom 25%,M,top 25%,1.8138272,1.1976192
3,mixed,Mxd,0.5141552,173,mid 50%,F,top 25%,0.4026692,0.2884532
3,mixed,Mxd,0.5141552,180,top 25%,M,top 25%,-1.118624,-1.116621
3,mixed,Mxd,0.5141552,181,mid 50%,F,top 25%,0.1340672,0.3711052
3,mixed,Mxd,0.5141552,188,bottom 25%,M,top 25%,0.7472282,0.6190592
3,mixed,Mxd,0.5141552,194,bottom 25%,F,top 25%,1.5792202,0.7017112
3,mixed,Mxd,0.5141552,195,bottom 25%,F,top 25%,0.2613242,1.1976192
3,mixed,Mxd,0.5141552,197,mid 50%,F,top 25%,0.6787592,-0.620713
3,mixed,Mxd,0.5141552,204,bottom 25%,M,top 25%,1.9771072,2.4373912
3,mixed,Mxd,0.5141552,206,bottom 25%,F,top 25%,-0.265159,1.2802712
3,mixed,Mxd,0.5141552,207,mid 50%,F,top 25%,1.5061852,-0.207455
3,mixed,Mxd,0.5141552,208,mid 50%,M,top 25%,0.2613242,-0.207455
3,mixed,Mxd,0.5141552,211,bottom 25%,M,top 25%,1.3747412,0.3711052
3,mixed,Mxd,0.5141552,212,mid 50%,F,top 25%,0.9675862,0.2058022
3,mixed,Mxd,0.5141552,219,mid 50%,F,top 25%,0.4026692,0.2884532
4,mixed,Mxd,0.0917642,5,bottom 25%,M,mid 50%,0.5443412,1.1976192
4,mixed,Mxd,0.0917642,6,bottom 25%,F,mid 50%,2.1029752,2.2720892
4,mixed,Mxd,0.0917642,10,mid 50%,F,mid 50%,1.5792202,-0.538061
4,mixed,Mxd,0.0917642,12,mid 50%,F,mid 50%,1.0396082,0.0404992
4,mixed,Mxd,0.0917642,14,bottom 25%,M,mid 50%,1.5061852,2.1067862
4,mixed,Mxd,0.0917642,15,mid 50%,M,mid 50%,-0.555112,-0.703364
4,mixed,Mxd,0.0917642,19,bottom 25%,F,mid 50%,2.1029752,0.8670142
4,mixed,Mxd,0.0917642,20,bottom 25%,F,mid 50%,0.6787592,1.5282252
4,mixed,Mxd,0.0917642,21,bottom 25%,M,mid 50%,0.7472282,0.7017112
4,mixed,Mxd,0.0917642,22,bottom 25%,M,mid 50%,1.9771072,2.3547402
4,mixed,Mxd,0.0917642,24,mid 50%,F,mid 50%,0.1340672,0.0404992
4,mixed,Mxd,0.0917642,26,bottom 25%,F,mid 50%,1.4395322,0.6190592
4,mixed,Mxd,0.0917642,27,mid 50%,F,mid 50%,0.1941492,-0.538061
4,mixed,Mxd,0.0917642,28,mid 50%,F,mid 50%,-0.85267,0.3711052
4,mixed,Mxd,0.0917642,29,top 25%,M,mid 50%,-1.335315,-1.860484
4,mixed,Mxd,0.0917642,30,top 25%,M,mid 50%,-2.291731,-1.860484
4,mixed,Mxd,0.0917642,34,bottom 25%,F,mid 50%,2.0397092,1.7761802
4,mixed,Mxd,0.0917642,36,mid 50%,M,mid 50%,-0.555112,-0.207455
4,mixed,Mxd,0.0917642,37,mid 50%,F,mid 50%,-0.555112,0.0404992
4,mixed,Mxd,0.0917642,38,mid 50%,M,mid 50%,-0.555112,-0.951318
4,mixed,Mxd,0.0917642,39,mid 50%,M,mid 50%,0.8219882,0.0404992
4,mixed,Mxd,0.0917642,41,mid 50%,F,mid 50%,2.3136012,0.4537562
4,mixed,Mxd,0.0917642,42,mid 50%,M,mid 50%,-0.85267,-0.290107
4,mixed,Mxd,0.0917642,43,bottom 25%,F,mid 50%,-0.265159,0.7843622
4,mixed,Mxd,0.0917642,44,mid 50%,M,mid 50%,-1.62373,-0.951318
4,mixed,Mxd,0.0917642,49,mid 50%,M,mid 50%,-0.555112,0.0404992
4,mixed,Mxd,0.0917642,51,bottom 25%,F,mid 50%,1.1094382,1.8588312
4,mixed,Mxd,0.0917642,54,bottom 25%,M,mid 50%,1.9003352,1.4455742
4,mixed,Mxd,0.0917642,55,mid 50%,M,mid 50%,0.3280722,0.1231502
4,mixed,Mxd,0.0917642,57,mid 50%,M,mid 50%,-0.062088,-0.538061
4,mixed,Mxd,0.0917642,60,bottom 25%,F,mid 50%,0.7472282,0.7843622
4,mixed,Mxd,0.0917642,67,top 25%,F,mid 50%,-0.939378,-1.777833
4,mixed,Mxd,0.0917642,68,mid 50%,F,mid 50%,-0.492781,-0.786016
4,mixed,Mxd,0.0917642,73,bottom 25%,F,mid 50%,-0.062088,0.8670142
4,mixed,Mxd,0.0917642,74,mid 50%,M,mid 50%,-1.029067,0.2058022
4,mixed,Mxd,0.0917642,75,mid 50%,M,mid 50%,-0.623051,0.1231502
4,mixed,Mxd,0.0917642,76,bottom 25%,M,mid 50%,1.1758492,1.6935282
4,mixed,Mxd,0.0917642,77,mid 50%,M,mid 50%,-1.219486,-0.703364
4,mixed,Mxd,0.0917642,79,mid 50%,M,mid 50%,-0.623051,-0.042152
4,mixed,Mxd,0.0917642,81,mid 50%,F,mid 50%,-1.029067,-0.786016
4,mixed,Mxd,0.0917642,82,bottom 25%,F,mid 50%,0.0735362,0.6190592
4,mixed,Mxd,0.0917642,84,mid 50%,F,mid 50%,-0.555112,-0.620713
4,mixed,Mxd,0.0917642,87,mid 50%,M,mid 50%,1.5792202,0.3711052
4,mixed,Mxd,0.0917642,90,mid 50%,F,mid 50%,-0.265159,-0.290107
4,mixed,Mxd,0.0917642,91,mid 50%,M,mid 50%,-1.526653,-0.868667
4,mixed,Mxd,0.0917642,92,mid 50%,F,mid 50%,0.4026692,-0.372758
4,mixed,Mxd,0.0917642,93,mid 50%,M,mid 50%,-0.197611,-0.45541
4,mixed,Mxd,0.0917642,98,bottom 25%,F,mid 50%,0.0735362,0.8670142
4,mixed,Mxd,0.0917642,102,mid 50%,M,mid 50%,0.4026692,-0.042152
4,mixed,Mxd,0.0917642,104,mid 50%,M,mid 50%,-0.699505,-0.207455
4,mixed,Mxd,0.0917642,105,bottom 25%,F,mid 50%,2.5323522,0.8670142
4,mixed,Mxd,0.0917642,107,mid 50%,F,mid 50%,0.6787592,-0.45541
4,mixed,Mxd,0.0917642,108,bottom 25%,M,mid 50%,0.3280722,1.9414832
4,mixed,Mxd,0.0917642,110,mid 50%,M,mid 50%,-0.85267,-0.703364
4,mixed,Mxd,0.0917642,113,mid 50%,M,mid 50%,-0.85267,-1.03397
4,mixed,Mxd,0.0917642,116,bottom 25%,M,mid 50%,0.2613242,1.8588312
4,mixed,Mxd,0.0917642,121,mid 50%,M,mid 50%,0.4781942,-0.207455
4,mixed,Mxd,0.0917642,133,mid 50%,F,mid 50%,0.6787592,0.3711052
4,mixed,Mxd,0.0917642,138,top 25%,M,mid 50%,-1.723882,-1.281924
4,mixed,Mxd,0.0917642,143,mid 50%,F,mid 50%,0.1941492,0.1231502
4,mixed,Mxd,0.0917642,145,mid 50%,M,mid 50%,-0.419801,-0.538061
4,mixed,Mxd,0.0917642,150,bottom 25%,M,mid 50%,-0.129085,0.6190592
4,mixed,Mxd,0.0917642,153,top 25%,F,mid 50%,-1.438662,-1.777833
4,mixed,Mxd,0.0917642,154,mid 50%,M,mid 50%,-0.265159,-0.868667
4,mixed,Mxd,0.0917642,155,mid 50%,F,mid 50%,-2.291731,-0.868667
4,mixed,Mxd,0.0917642,156,top 25%,M,mid 50%,-0.699505,-1.199273
4,mixed,Mxd,0.0917642,157,bottom 25%,M,mid 50%,0.5443412,0.5364082
4,mixed,Mxd,0.0917642,158,mid 50%,M,mid 50%,0.6787592,-0.703364
4,mixed,Mxd,0.0917642,159,bottom 25%,M,mid 50%,1.1094382,0.3711052
4,mixed,Mxd,0.0917642,160,bottom 25%,M,mid 50%,-0.062088,0.9496652
4,mixed,Mxd,0.0917642,169,mid 50%,M,mid 50%,-0.623051,0.2058022
4,mixed,Mxd,0.0917642,178,mid 50%,F,mid 50%,-0.419801,-0.124804
4,mixed,Mxd,0.0917642,182,top 25%,M,mid 50%,-1.62373,-2.356393
4,mixed,Mxd,0.0917642,185,mid 50%,M,mid 50%,-0.338842,0.2884532
4,mixed,Mxd,0.0917642,187,bottom 25%,F,mid 50%,0.6787592,0.9496652
4,mixed,Mxd,0.0917642,190,bottom 25%,F,mid 50%,1.3101422,0.6190592
4,mixed,Mxd,0.0917642,192,bottom 25%,M,mid 50%,-0.699505,0.7843622
5,mixed,Mxd,0.2105252,4,mid 50%,F,top 25%,-0.129085,-1.199273
5,mixed,Mxd,0.2105252,13,bottom 25%,M,top 25%,0.2613242,0.7017112
5,mixed,Mxd,0.2105252,17,bottom 25%,F,top 25%,1.4395322,1.1976192
5,mixed,Mxd,0.2105252,26,mid 50%,F,top 25%,1.1758492,-0.372758
5,mixed,Mxd,0.2105252,32,mid 50%,F,top 25%,0.6107292,0.2884532
5,mixed,Mxd,0.2105252,39,bottom 25%,F,top 25%,0.6787592,0.6190592
5,mixed,Mxd,0.2105252,41,bottom 25%,M,top 25%,0.1941492,0.5364082
5,mixed,Mxd,0.2105252,53,mid 50%,F,top 25%,-0.776109,-0.786016
5,mixed,Mxd,0.2105252,54,mid 50%,F,top 25%,-1.219486,-0.372758
5,mixed,Mxd,0.2105252,61,bottom 25%,F,top 25%,0.4026692,0.5364082
5,mixed,Mxd,0.2105252,64,mid 50%,F,top 25%,-0.419801,-0.290107
5,mixed,Mxd,0.2105252,66,bottom 25%,M,top 25%,1.1758492,0.8670142
5,mixed,Mxd,0.2105252,74,mid 50%,M,top 25%,-0.492781,-0.290107
5,mixed,Mxd,0.2105252,84,mid 50%,F,top 25%,-1.219486,-0.703364
5,mixed,Mxd,0.2105252,92,mid 50%,M,top 25%,1.3101422,0.4537562
5,mixed,Mxd,0.2105252,93,bottom 25%,M,top 25%,0.6107292,0.5364082
5,mixed,Mxd,0.2105252,110,mid 50%,M,top 25%,0.4781942,0.1231502
5,mixed,Mxd,0.2105252,115,mid 50%,F,top 25%,-0.129085,-0.372758
5,mixed,Mxd,0.2105252,127,mid 50%,M,top 25%,0.1941492,0.0404992
5,mixed,Mxd,0.2105252,130,bottom 25%,F,top 25%,1.5061852,0.7017112
5,mixed,Mxd,0.2105252,145,bottom 25%,F,top 25%,0.3280722,1.1976192
5,mixed,Mxd,0.2105252,161,bottom 25%,M,top 25%,0.2613242,0.9496652
5,mixed,Mxd,0.2105252,171,mid 50%,F,top 25%,1.0396082,-0.372758
5,mixed,Mxd,0.2105252,172,mid 50%,F,top 25%,0.1941492,0.2884532
5,mixed,Mxd,0.2105252,197,mid 50%,F,top 25%,0.7472282,0.4537562
5,mixed,Mxd,0.2105252,209,mid 50%,M,top 25%,-0.062088,-0.372758
5,mixed,Mxd,0.2105252,218,bottom 25%,F,top 25%,2.1029752,2.0241342
5,mixed,Mxd,0.2105252,225,mid 50%,M,top 25%,0.3280722,-0.620713
5,mixed,Mxd,0.2105252,226,mid 50%,M,top 25%,0.4026692,-0.207455
5,mixed,Mxd,0.2105252,232,mid 50%,F,top 25%,0.1941492,0.5364082
5,mixed,Mxd,0.2105252,238,mid 50%,F,top 25%,-1.118624,-0.372758
5,mixed,Mxd,0.2105252,242,mid 50%,M,top 25%,0.3280722,-0.124804
5,mixed,Mxd,0.2105252,250,bottom 25%,M,top 25%,1.1094382,1.7761802
5,mixed,Mxd,0.2105252,265,mid 50%,M,top 25%,1.5792202,-0.207455
6,girls,Sngl,0.6376562,3,mid 50%,F,top 25%,0.9675862,-0.207455
6,girls,Sngl,0.6376562,4,mid 50%,F,top 25%,0.0043222,-0.372758
6,girls,Sngl,0.6376562,8,bottom 25%,F,top 25%,1.5792202,1.3629222
6,girls,Sngl,0.6376562,9,mid 50%,F,top 25%,-0.699505,0.0404992
6,girls,Sngl,0.6376562,11,mid 50%,F,top 25%,1.1758492,0.5364082
6,girls,Sngl,0.6376562,13,bottom 25%,F,top 25%,1.2405332,1.6935282
6,girls,Sngl,0.6376562,14,bottom 25%,F,top 25%,1.3101422,2.0241342
6,girls,Sngl,0.6376562,15,mid 50%,F,top 25%,0.5443412,0.2884532
6,girls,Sngl,0.6376562,16,mid 50%,F,top 25%,1.3747412,-0.124804
6,girls,Sngl,0.6376562,17,top 25%,F,top 25%,-1.723882,-1.447227
6,girls,Sngl,0.6376562,19,mid 50%,F,top 25%,0.8219882,0.1231502
6,girls,Sngl,0.6376562,24,mid 50%,F,top 25%,1.2405332,0.2884532
6,girls,Sngl,0.6376562,25,bottom 25%,F,top 25%,1.9771072,1.4455742
6,girls,Sngl,0.6376562,26,bottom 25%,F,top 25%,1.5792202,0.9496652
6,girls,Sngl,0.6376562,31,mid 50%,F,top 25%,0.1941492,0.3711052
6,girls,Sngl,0.6376562,32,bottom 25%,F,top 25%,2.3136012,1.1976192
6,girls,Sngl,0.6376562,40,bottom 25%,F,top 25%,0.0735362,0.6190592
6,girls,Sngl,0.6376562,41,bottom 25%,F,top 25%,1.5792202,1.1976192
6,girls,Sngl,0.6376562,43,bottom 25%,F,top 25%,1.7348992,2.2720892
6,girls,Sngl,0.6376562,44,bottom 25%,F,top 25%,0.8219882,0.8670142
6,girls,Sngl,0.6376562,45,mid 50%,F,top 25%,0.3280722,-0.372758
6,girls,Sngl,0.6376562,47,mid 50%,F,top 25%,0.9675862,0.1231502
6,girls,Sngl,0.6376562,48,mid 50%,F,top 25%,0.6787592,0.1231502
6,girls,Sngl,0.6376562,49,bottom 25%,F,top 25%,1.8138272,1.0323172
6,girls,Sngl,0.6376562,50,bottom 25%,F,top 25%,1.5061852,1.1149682
6,girls,Sngl,0.6376562,52,bottom 25%,F,top 25%,0.3280722,1.6108772
6,girls,Sngl,0.6376562,53,bottom 25%,F,top 25%,-0.623051,0.5364082
6,girls,Sngl,0.6376562,54,mid 50%,F,top 25%,1.3101422,0.2884532
6,girls,Sngl,0.6376562,55,bottom 25%,F,top 25%,1.9771072,1.1149682
6,girls,Sngl,0.6376562,57,mid 50%,F,top 25%,0.3280722,-0.124804
6,girls,Sngl,0.6376562,58,mid 50%,F,top 25%,-0.419801,0.4537562
6,girls,Sngl,0.6376562,61,mid 50%,F,top 25%,1.1094382,-0.290107
